step,episode,action_0_max_inflight_messages,action_1_max_inflight_bytes,action_2_max_queued_messages,action_3_max_queued_bytes,action_4_queue_qos0_messages,action_5_memory_limit,action_6_persistence,action_7_autosave_interval,action_8_set_tcp_nodelay,action_9_max_packet_size,action_10_message_size_limit,decoded_max_inflight_messages,decoded_max_inflight_bytes,decoded_max_queued_messages,decoded_max_queued_bytes,decoded_queue_qos0_messages,decoded_memory_limit,decoded_persistence,decoded_autosave_interval,decoded_set_tcp_nodelay,decoded_max_packet_size,decoded_message_size_limit,sys_clients_connected,sys_msgs_received_1min,sys_msgs_received_1min_per_sec,sys_msgs_received_total,sys_msgs_received_rate,throughput,reward,latency_source,latency_probe_connected,latency_probe_samples,latency_probe_min,latency_probe_max
11,2,0.4883613586425781,0.2240155041217804,0.5372592806816101,0.11810165643692017,0.7872433662414551,0.7566227316856384,0.6921550035476685,0.6947747468948364,0.22017359733581543,0.5752024054527283,0.8433395028114319,980,14942208,10700,15728640,True,3221225472,True,2520,False,6031360,8843264,111.0,719518.16,11991.969333333334,1112999.0,,1.1991969347000122,-1.0999189703604608,static,False,0,0.0,0.0
12,2,0.486563503742218,0.369138240814209,0.9475919008255005,0.5976148843765259,0.6114724278450012,0.48934394121170044,0.6804333925247192,0.5839426517486572,0.14682787656784058,0.3129134774208069,0.3850489854812622,970,24641536,19000,79691776,True,2080374784,True,2100,False,3280896,4037632,111.0,886613.85,14776.8975,1380300.0,,1.4776897430419922,-0.9240641056074061,static,False,0,0.0,0.0
13,2,0.14214137196540833,0.6155011653900146,0.0,0.03138121962547302,0.10390433669090271,0.028726428747177124,0.7166001200675964,0.4513702690601349,0.22000619769096375,0.4410666227340698,0.9303478598594666,280,41418752,unlimited,4194304,False,134217728,True,1620,False,4625408,9755648,111.0,1383002.63,23050.043833333333,2134838.0,,2.305004358291626,-0.6320716251589054,static,False,0,0.0,0.0
14,2,0.7709794044494629,0.4571714997291565,0.8922378420829773,0.36597803235054016,0.41908615827560425,0.9006404876708984,0.7148185968399048,0.8509105443954468,0.4619673788547516,0.02419421076774597,0.4132125973701477,1540,30670848,17800,49283072,False,3892314112,True,3060,False,253952,4332544,111.0,759903.21,12665.0535,1189830.0,,1.2665053606033325,-1.885524166072505,static,False,0,0.0,0.0
15,2,0.5122514963150024,0.875595211982727,0.8232496976852417,0.7383579015731812,0.1869983673095703,0.43373242020606995,1.0,0.3511565327644348,0.9224981665611267,0.45052316784858704,0.5816203355789185,1020,58720256,16500,99614720,False,1879048192,True,1260,True,4723712,6098944,111.0,1024754.07,17079.2345,1602629.0,,1.707923412322998,-0.9956868516008819,static,False,0,0.0,0.0
16,2,0.652370274066925,0.9411206841468811,0.7700530886650085,0.5906779766082764,0.7564237117767334,0.382199227809906,0.800847053527832,0.44142603874206543,0.5937892198562622,0.8714618682861328,0.5816477537155151,1300,63176704,15400,79691776,True,1610612736,True,1560,True,9138176,6098944,111.0,832812.02,13880.200333333334,1312970.0,,1.3880200386047363,-1.4603980843122708,static,False,0,0.0,0.0
17,2,0.20073968172073364,0.4919682741165161,0.47924572229385376,0.6123335361480713,0.7568122148513794,0.8866000175476074,0.25162339210510254,0.3101319670677185,0.12582769989967346,0.7215404510498047,0.6862285137176514,400,33030144,9600,81788928,True,3825205248,False,1140,False,7566336,7195648,111.0,1289011.92,21483.532,2001557.0,,2.148353099822998,-0.574915402681512,static,False,0,0.0,0.0
18,2,0.5942590236663818,0.6926485300064087,0.16308268904685974,0.20930692553520203,0.42448610067367554,0.509423017501831,0.9752918481826782,0.7157983183860779,0.4869687855243683,0.0728292167186737,0.3595982491970062,1190,46399488,3300,28311552,False,2214592512,True,2580,False,763904,3770368,111.0,792624.87,13210.4145,1240310.0,,1.321041464805603,-1.7341616110651314,static,False,0,0.0,0.0
19,2,0.6122058629989624,0.3269759714603424,0.3192256689071655,0.8165702223777771,0.48178523778915405,0.7683943510055542,1.0,0.631970226764679,0.20332175493240356,0.0,0.8558807373046875,1220,22020096,6400,110100480,False,3288334336,True,2280,False,unlimited,8974336,111.0,793240.88,13220.681333333334,1225282.0,,1.3220680952072144,-1.3501000797090228,static,False,0,0.0,0.0
20,2,0.5937681198120117,0.7003118395805359,0.274350643157959,0.5449069738388062,0.8747421503067017,0.6436297297477722,0.9533270597457886,0.17338481545448303,0.06917047500610352,0.24731850624084473,0.6633409857749939,1190,46923776,5500,73400320,True,2751463424,True,600,False,2593792,6956032,111.0,744859.18,12414.319666666668,1185678.0,,1.2414319515228271,-1.5459088553655302,static,False,0,0.0,0.0
21,2,0.6777493953704834,0.35031986236572266,0.29670149087905884,0.8837414383888245,0.427573025226593,0.6037539839744568,0.7361734509468079,0.8681464791297913,0.5202328562736511,0.8110051155090332,0.33212196826934814,1360,23592960,5900,118489088,False,2617245696,True,3120,True,8504320,3482624,111.0,851477.57,14191.292833333333,1330060.0,,1.4191292524337769,-1.3339934077142814,static,False,0,0.0,0.0
22,2,0.23710507154464722,0.7156484723091125,0.8066701889038086,0.916757345199585,0.0,0.5577121376991272,0.45720288157463074,0.9548942446708679,0.9228812456130981,0.4632868766784668,0.4697476029396057,470,47972352,16100,122683392,False,2415919104,False,3420,True,4857856,4925440,111.0,1294044.23,21567.403833333334,2024963.0,,2.156740427017212,-0.9962622258519066,static,False,0,0.0,0.0
23,2,0.732016921043396,0.0,0.6154247522354126,0.7687255144119263,0.025668412446975708,0.26389747858047485,0.4253259301185608,0.9471390843391418,0.4248915910720825,0.8261659145355225,0.05653250217437744,1460,unlimited,12300,102760448,False,1140850688,False,3420,False,8663040,592896,111.0,772491.98,12874.866333333333,1223052.0,,1.2874866724014282,-1.8658544218668043,static,False,0,0.0,0.0
24,2,0.2919534146785736,0.38247090578079224,0.3027876913547516,0.18147516250610352,0.4908684194087982,0.8378106355667114,0.36029666662216187,0.9068253636360168,0.4940580725669861,0.007757663726806641,0.9337323904037476,580,25690112,6100,24117248,False,3623878656,False,3240,False,80896,9790464,111.0,1188337.01,19805.616833333333,1853870.0,,1.9805617332458496,-0.8011779795961371,static,False,0,0.0,0.0
25,2,0.43385639786720276,0.7323814630508423,0.0,0.6608965396881104,0.4782358705997467,0.22499871253967285,0.6588960886001587,0.5844890475273132,0.8849707841873169,0.42248016595840454,0.4572698473930359,870,49020928,unlimited,89128960,False,939524096,True,2100,True,4429824,4794368,111.0,1042596.73,17376.612166666666,1617133.0,,1.7376612424850464,-1.2669058569335943,static,False,0,0.0,0.0
26,2,0.8992424607276917,0.27753105759620667,0.4156300127506256,0.2442629337310791,0.05699509382247925,0.13281488418579102,0.040137141942977905,0.505452573299408,0.9234597682952881,0.5298721790313721,1.0,1800,18612224,8300,32505856,False,603979776,False,1800,True,5556224,10485760,111.0,739510.27,12325.171166666667,1158755.0,,1.232517123222351,-1.4837499049869596,static,False,0,0.0,0.0
27,2,0.42581307888031006,0.881856381893158,0.10946387052536011,0.6248712539672852,0.41889286041259766,0.2652391791343689,0.6667282581329346,0.316387802362442,0.9112926721572876,0.0,0.5679911971092224,850,59244544,2200,83886080,False,1140850688,True,1140,True,unlimited,5955584,111.0,1108938.64,18482.310666666664,1738923.0,,1.8482310771942139,-0.8307945339923841,static,False,0,0.0,0.0
28,2,0.6487798690795898,0.04119962453842163,0.07655665278434753,0.9247616529464722,0.8893879652023315,0.8224301934242249,0.6673668622970581,0.45463424921035767,0.7965257167816162,0.7838114500045776,0.13053932785987854,1300,2883584,1500,123731968,True,3556769792,True,1620,True,8218624,1369088,111.0,882849.51,14714.1585,1369580.0,,1.4714158773422241,-1.4392297911540002,static,False,0,0.0,0.0
29,2,0.013619750738143921,0.5389719605445862,0.8207773566246033,0.3571125864982605,0.4269162118434906,0.6835382580757141,0.9372168779373169,0.14421048760414124,0.785553514957428,0.6719176769256592,0.17380058765411377,30,36175872,16400,48234496,False,2952790016,True,540,True,7045120,1822720,111.0,1732462.31,28874.371833333335,2713353.0,,2.887437105178833,-0.2172870237200597,static,False,0,0.0,0.0
30,2,0.0,0.8521620035171509,0.24895304441452026,0.37146487832069397,0.7959377765655518,0.1353849470615387,0.9699317812919617,0.632786214351654,0.7243294715881348,0.4434085488319397,0.8209124803543091,unlimited,57147392,5000,50331648,True,603979776,True,2280,True,4649984,8607744,111.0,118424.82,1973.747,215435.0,,0.19737470149993896,-2.154688199545036,static,False,0,0.0,0.0
31,2,0.7458897829055786,0.8659379482269287,0.9618026614189148,0.6127439737319946,0.5222658514976501,0.8582404851913452,0.9729732275009155,0.35158276557922363,0.810472846031189,0.44304612278938293,0.3670576810836792,1490,58195968,19200,81788928,True,3690987520,True,1260,True,4645888,3849216,111.0,790671.42,13177.857,1243131.0,,1.3177857398986816,-0.398799808107034,static,False,0,0.0,0.0
32,2,0.8928769826889038,0.10046613216400146,0.05980294942855835,0.5294821262359619,0.13595175743103027,0.7472533583641052,0.9969111680984497,0.5159050822257996,0.647598385810852,0.08988982439041138,0.2679450511932373,1790,6815744,1200,71303168,False,3221225472,True,1860,True,942080,2809856,111.0,750475.37,12507.922833333334,1174170.0,,1.2507922649383545,-1.6189776907474418,static,False,0,0.0,0.0
33,2,0.2446177899837494,0.344252347946167,0.2667556405067444,0.0,0.6600464582443237,0.4747675061225891,0.9300616383552551,0.3751179575920105,0.7745629549026489,0.759064793586731,0.2143864929676056,490,23068672,5300,unlimited,True,2013265920,True,1320,True,7959552,2247680,111.0,1164463.87,19407.73116666667,1826931.0,,1.9407731294631958,-0.9338659895642523,static,False,0,0.0,0.0
34,2,0.9047810435295105,0.027875125408172607,0.07206845283508301,0.5589753985404968,0.7565127611160278,0.1024455726146698,0.3314349949359894,0.7761423587799072,0.4660103917121887,0.5021418333053589,0.7606792449951172,1810,1835008,1400,75497472,True,469762048,False,2820,False,5265408,7975936,111.0,641905.44,10698.423999999999,1004950.0,,1.0698424577713013,-2.3472708219684675,static,False,0,0.0,0.0
35,2,0.6422805786132812,0.0218774676322937,0.8692969083786011,0.7555309534072876,0.6802759170532227,0.08683449029922485,0.4765956401824951,0.46285876631736755,0.7147101163864136,0.7531029582023621,0.16210997104644775,1280,1572864,17400,101711872,True,402653184,False,1680,True,7897088,1699840,111.0,851352.26,14189.204333333333,1317856.0,,1.4189203977584839,-1.2881176529961698,static,False,0,0.0,0.0
36,2,0.014181315898895264,0.0,0.6807040572166443,0.16079363226890564,0.08853352069854736,0.31097859144210815,0.5090079307556152,0.06981515884399414,0.0,0.7615108489990234,0.09407845139503479,30,unlimited,13600,22020096,False,1342177280,True,240,False,7985152,986112,111.0,1569348.78,26155.813000000002,2448370.0,,2.6155812740325928,-0.5429505894454949,static,False,0,0.0,0.0
37,2,0.0641021728515625,0.5610330104827881,0.9518150091171265,0.2172696590423584,0.6807175278663635,0.5098705887794495,0.9214433431625366,0.17656558752059937,0.5291573405265808,0.4869508445262909,0.5342138409614563,130,37748736,19000,29360128,True,2214592512,True,660,True,5105664,5601280,111.0,1589988.44,26499.807333333334,2478037.0,,2.6499807834625244,-0.7874604306301392,static,False,0,0.0,0.0
38,2,0.8836528062820435,0.5070067644119263,0.6461002230644226,0.03220203518867493,0.8092496395111084,0.9982776641845703,0.8180444240570068,0.41431471705436707,0.8601426482200623,0.24457475543022156,0.16779401898384094,1770,34078720,12900,4194304,True,4294967296,True,1500,True,2564096,1759232,111.0,727009.82,12116.830333333333,1134579.0,,1.2116830348968506,-1.5228570569934803,static,False,0,0.0,0.0
39,2,0.9070366621017456,0.013347029685974121,0.04312223196029663,0.3910471796989441,0.8266531825065613,0.3315121829509735,0.9503649473190308,0.45689550042152405,0.22689709067344666,0.05811554193496704,0.7575072050094604,1810,786432,900,52428800,True,1409286144,True,1620,False,609280,7943168,111.0,716820.6,11947.01,1115736.0,,1.1947009563446045,-1.0033473610098858,static,False,0,0.0,0.0
40,2,0.0033461153507232666,0.516735851764679,0.9294757843017578,0.5048657655715942,0.1535118818283081,0.712392270565033,0.273245632648468,0.2449437975883484,0.0609917938709259,0.7144132256507874,0.884268581867218,unlimited,34603008,18600,68157440,False,3087007744,False,900,False,7491584,9272320,111.0,155361.61,2589.3601666666664,262228.0,,0.2589360177516937,-1.9927702814487225,static,False,0,0.0,0.0
41,2,0.46737173199653625,0.10637414455413818,0.7211094498634338,0.0,0.748833179473877,0.38676345348358154,0.18375808000564575,0.6688007116317749,0.34004831314086914,0.7023752927780151,0.2939331531524658,940,7077888,14400,unlimited,True,1677721600,False,2400,False,7364608,3082240,111.0,986734.45,16445.574166666665,1550983.0,,1.6445574760437012,-0.6138916263622209,static,False,0,0.0,0.0
42,2,0.5835253596305847,0.23224401473999023,0.9486926794052124,0.7948778867721558,0.0,0.2786884903907776,0.7039555311203003,0.8504026532173157,0.9008583426475525,0.8866804838180542,0.6670498251914978,1170,15466496,19000,106954752,False,1207959552,True,3060,True,9297920,6994944,111.0,926173.59,15436.226499999999,1451362.0,,1.543622612953186,-1.9682027386172296,static,False,0,0.0,0.0
43,2,0.9142782688140869,0.5078560709953308,0.7569880485534668,0.6449516415596008,0.1805424690246582,0.2739011347293854,0.030505061149597168,0.42027539014816284,0.8547159433364868,0.42705702781677246,0.9328012466430664,1830,34078720,15100,87031808,False,1207959552,False,1500,True,4477952,9781248,111.0,731926.67,12198.777833333334,1150468.0,,1.21987783908844,-2.111529940805119,static,False,0,0.0,0.0
44,2,0.4537044167518616,0.41714054346084595,0.4783911108970642,0.19434866309165955,0.10553872585296631,0.4925338625907898,0.11340862512588501,0.6050814390182495,0.08253929018974304,0.41587990522384644,0.48146408796310425,910,28049408,9600,26214400,False,2147483648,False,2160,False,4361216,5048320,111.0,947076.88,15784.614666666666,1475069.0,,1.5784614086151123,-1.5200121784488676,static,False,0,0.0,0.0
45,2,0.13283640146255493,0.8905640840530396,0.09411534667015076,0.8073947429656982,0.012370824813842773,0.15337443351745605,0.8357430696487427,0.6600582599639893,0.8095201253890991,0.3700769245624542,0.84089195728302,270,59768832,1900,108003328,False,671088640,True,2400,True,3880960,8817664,111.0,1451353.47,24189.2245,2271058.0,,2.4189224243164062,-0.710576590812767,static,False,0,0.0,0.0
46,2,0.4829775393009186,0.35826781392097473,0.8008352518081665,0.4395885169506073,0.14749884605407715,0.6997185945510864,0.1310129463672638,0.31658726930618286,0.015267133712768555,0.760643720626831,0.37829822301864624,970,24117248,16000,58720256,False,3019898880,False,1140,False,7975936,3966976,111.0,991396.03,16523.26716666667,1541737.0,,1.6523267030715942,-1.5022222048614235,static,False,0,0.0,0.0
47,2,0.5664829015731812,0.35813212394714355,0.39845019578933716,0.8679420351982117,0.31603580713272095,0.37433677911758423,0.9932764768600464,0.34597036242485046,0.277771919965744,0.5562987327575684,0.4200494587421417,1130,24117248,8000,116391936,False,1610612736,True,1260,False,5832704,4404224,111.0,898587.39,14976.4565,1399872.0,,1.497645616531372,-1.3026021235883276,static,False,0,0.0,0.0
48,2,0.08018922805786133,0.4998258352279663,0.8529834747314453,0.43317073583602905,0.25213539600372314,0.35230305790901184,0.4400430917739868,0.8491199016571045,0.05524778366088867,0.7262603640556335,0.3559798002243042,160,33554432,17100,57671680,False,1543503872,False,3060,False,7615488,3732480,111.0,1620317.2,27005.286666666667,2513663.0,,2.700528621673584,-0.08644599715522158,static,False,0,0.0,0.0
49,2,0.8358083963394165,0.060569316148757935,0.3584315776824951,0.29735860228538513,0.06726723909378052,0.08876016736030579,0.2663156986236572,0.435098797082901,0.15243932604789734,0.15763390064239502,1.0,1670,4194304,7200,39845888,False,402653184,False,1560,False,1652736,10485760,111.0,675707.27,11261.787833333334,1069172.0,,1.1261787414550781,-1.4195052133939077,static,False,0,0.0,0.0
50,2,0.372609943151474,0.39824843406677246,0.26775288581848145,0.4260844886302948,0.43531280755996704,0.7007875442504883,0.28418946266174316,0.06396809220314026,0.10463836789131165,0.23826703429222107,0.829581618309021,740,26738688,5400,57671680,False,3019898880,False,240,False,2498560,8698880,111.0,990487.54,16508.125666666667,1543474.0,,1.6508126258850098,-0.6961548193782214,static,False,0,0.0,0.0
51,2,0.8956932425498962,0.7647972106933594,0.8746920228004456,0.0,0.14565014839172363,0.39304980635643005,0.4698915183544159,0.899114727973938,0.6801085472106934,0.5161910057067871,0.7068519592285156,1790,51380224,17500,unlimited,False,1677721600,False,3240,True,5412864,7411712,111.0,728098.41,12134.9735,1164916.0,,1.2134974002838135,-1.5212617740800778,static,False,0,0.0,0.0
52,2,0.6457670331001282,0.5205197930335999,0.4962807297706604,0.4982643723487854,0.4352196753025055,0.3811165988445282,0.6315351724624634,0.4697539508342743,0.3127102851867676,0.16606158018112183,0.3963645100593567,1290,34865152,9900,67108864,False,1610612736,True,1680,False,1740800,4156416,111.0,775115.25,12918.5875,1210685.0,,1.2918587923049927,-1.258502329418421,static,False,0,0.0,0.0
53,2,0.36842143535614014,0.5186053514480591,0.7742811441421509,0.13551461696624756,0.12434995174407959,0.8553381562232971,0.11627280712127686,0.3950203061103821,0.06284242868423462,0.05105465650558472,0.8156692385673523,740,34865152,15500,17825792,False,3690987520,False,1440,False,535552,8552448,111.0,931327.56,15522.126,1425105.0,,1.5522125959396362,-1.4493524377774925,static,False,0,0.0,0.0
54,2,0.019132882356643677,0.46503791213035583,0.5118997693061829,0.37634411454200745,0.0,0.6803717613220215,0.29766425490379333,0.5056570768356323,0.030283212661743164,0.37776094675064087,0.9414980411529541,40,31195136,10200,50331648,False,2952790016,False,1800,False,3960832,9872384,111.0,1646221.58,27437.026333333335,2617943.0,,2.7437026500701904,-0.5383168851662918,static,False,0,0.0,0.0
55,2,0.1986851692199707,0.19279104471206665,0.06766968965530396,0.6531785726547241,0.25426316261291504,0.635581374168396,0.4173513948917389,0.32592475414276123,0.44222012162208557,0.8535924553871155,0.9016515016555786,400,12845056,1400,88080384,False,2751463424,False,1200,False,8950784,9454592,111.0,1180086.34,19668.105666666666,1841362.0,,1.9668105840682983,-1.364142701422026,static,False,0,0.0,0.0
56,2,0.12718474864959717,0.7448147535324097,0.1832815706729889,0.8195585012435913,0.0,0.3268522620201111,0.4293871521949768,0.7917479872703552,0.0,0.0,0.07900756597518921,250,50069504,3700,110100480,False,1409286144,False,2880,False,unlimited,828416,111.0,1431469.48,23857.824666666667,2237499.0,,2.385782480239868,-0.5130215967350076,static,False,0,0.0,0.0
57,2,0.518615186214447,0.0,0.11921021342277527,0.0,0.0,0.07722797989845276,0.8132178783416748,0.8626576066017151,0.7674972414970398,0.21000158786773682,0.7221469283103943,1040,unlimited,2400,unlimited,False,335544320,True,3120,True,2201600,7572480,111.0,848135.13,14135.5855,1339725.0,,1.4135586023330688,-1.0704468088420604,static,False,0,0.0,0.0
58,2,0.5190103054046631,0.29390159249305725,0.6584917306900024,0.0295199453830719,0.41220781207084656,0.8288637399673462,0.7436847686767578,0.4112948775291443,0.3796025514602661,0.03693076968193054,0.2505366802215576,1040,19660800,13200,4194304,False,3556769792,True,1500,False,387072,2626560,111.0,832474.06,13874.567666666668,1286622.0,,1.3874567747116089,-0.7550296671840204,static,False,0,0.0,0.0
59,2,0.07096230983734131,0.6475770473480225,0.5745859146118164,0.289513498544693,0.11544793844223022,0.5340739488601685,0.19236433506011963,0.16140833497047424,0.6343064904212952,0.0,0.3801059424877167,140,43515904,11500,38797312,False,2281701376,False,600,True,unlimited,3985408,111.0,1574624.23,26243.737166666666,2442157.0,,2.6243736743927,-0.06227643139326389,static,False,0,0.0,0.0
60,2,0.7760607600212097,0.08088845014572144,0.7971897125244141,0.39545437693595886,0.7038123607635498,0.9907784461975098,0.4392300546169281,0.03673645853996277,0.16703322529792786,0.0,0.48600155115127563,1550,5505024,15900,53477376,True,4227858432,False,120,False,unlimited,5096448,111.0,760293.7,12671.561666666666,1186937.0,,1.2671561241149902,-1.4687074674465972,static,False,0,0.0,0.0
61,2,0.35472846031188965,0.2174849510192871,0.10812997817993164,0.4103195071220398,0.23900949954986572,0.2459000051021576,0.16451644897460938,0.15816104412078857,0.21134155988693237,0.18698900938034058,1.0,710,14680064,2200,55574528,False,1073741824,False,540,False,1960960,10485760,111.0,1139881.16,18998.019333333334,1777746.0,,1.8998019695281982,-0.6800845193693689,static,False,0,0.0,0.0
62,2,0.30560702085494995,0.39627301692962646,0.8243193626403809,0.7085476517677307,0.6635185480117798,0.34338197112083435,0.4946381449699402,0.46739721298217773,0.5962348580360413,0.7054537534713745,0.14171603322029114,610,26476544,16500,95420416,True,1476395008,False,1680,True,7397376,1485824,111.0,1227494.6,20458.243333333336,1904520.0,,2.0458242893218994,-0.8712166797313228,static,False,0,0.0,0.0
63,2,0.4036308526992798,0.06353586912155151,0.2980463206768036,0.7744935154914856,0.07760733366012573,0.7506222128868103,0.934651255607605,0.771930456161499,0.0,0.10555899143218994,0.880719780921936,810,4194304,6000,103809024,False,3221225472,True,2760,False,1106944,9235456,111.0,1062971.73,17716.195499999998,1655623.0,,1.7716195583343506,-0.9610584856463564,static,False,0,0.0,0.0
64,2,0.12223955988883972,0.2827056050300598,0.923789918422699,0.5198838710784912,0.6765499114990234,0.9942741394042969,0.2903858423233032,0.2313160002231598,0.2583809792995453,0.4627580940723419,0.4967351257801056,240,18874368,18500,70254592,True,4294967296,False,840,False,4852736,5209088,111.0,1490345.22,24839.087,2323607.0,,2.4839086532592773,-0.49022660220861186,static,False,0,0.0,0.0
65,2,0.0,0.629852294921875,0.3395516872406006,0.17620119452476501,0.5523772835731506,0.1989654302597046,0.11622226238250732,0.6786478161811829,0.4379483461380005,0.4963867962360382,0.7670766115188599,unlimited,42205184,6800,24117248,True,872415232,False,2460,False,5204992,8043520,111.0,148156.29,2469.2715000000003,257856.0,,0.2469271570444107,-1.9016385402198686,static,False,0,0.0,0.0
66,2,0.25359654426574707,0.5994517207145691,0.35398226976394653,0.30723536014556885,0.0,0.2230580449104309,0.5645347237586975,0.5611693859100342,0.2956354022026062,0.8057518005371094,0.11878299713134766,510,40108032,7100,40894464,False,939524096,True,2040,False,8449024,1245184,111.0,1220255.26,20337.587666666666,1912404.0,,2.0337588787078857,-0.14473723693266452,static,False,0,0.0,0.0
67,2,0.8617546558380127,0.47348693013191223,0.08170562982559204,0.05183303356170654,0.17461740970611572,0.9027354121208191,0.5093308687210083,0.7538741230964661,0.20082294940948486,0.608858048915863,0.63944011926651,1720,31719424,1600,7340032,False,3892314112,True,2700,False,6384640,6705152,111.0,753407.31,12556.7885,1174474.0,,1.2556788921356201,-1.7435797174040184,static,False,0,0.0,0.0
68,2,0.7420847415924072,0.21157565712928772,0.5168356895446777,0.4528273940086365,0.41284847259521484,0.9325097799301147,0.5996965765953064,0.930040717124939,0.08033871650695801,0.5821462869644165,0.4455738961696625,1480,14155776,10300,60817408,False,4026531840,True,3360,False,6104064,4672512,111.0,779496.79,12991.613166666668,1216263.0,,1.2991613149642944,-1.4790616252369997,static,False,0,0.0,0.0
69,2,0.49944719672203064,0.6394903063774109,0.5240592360496521,0.9055464267730713,0.0,0.8314661979675293,0.3245552182197571,0.3569890260696411,0.0,0.704004168510437,0.06341812014579773,1000,42991616,10500,121634816,False,3556769792,False,1260,False,7382016,664576,111.0,944965.42,15749.423666666667,1474803.0,,1.5749423503875732,-1.553163045417802,static,False,0,0.0,0.0
