step,episode,action_0_max_inflight_messages,action_1_max_inflight_bytes,action_2_max_queued_messages,action_3_max_queued_bytes,action_4_queue_qos0_messages,action_5_memory_limit,action_6_persistence,action_7_autosave_interval,action_8_set_tcp_nodelay,action_9_max_packet_size,action_10_message_size_limit,decoded_max_inflight_messages,decoded_max_inflight_bytes,decoded_max_queued_messages,decoded_max_queued_bytes,decoded_queue_qos0_messages,decoded_memory_limit,decoded_persistence,decoded_autosave_interval,decoded_set_tcp_nodelay,decoded_max_packet_size,decoded_message_size_limit,sys_clients_connected,sys_msgs_received_1min,sys_msgs_received_1min_per_sec,sys_msgs_received_total,sys_msgs_received_rate,throughput,throughput_msg_per_sec,latency_p50_ms,latency_p95_ms,queue_depth_norm,reward,restart_count,consecutive_failures,reward_throughput_base,reward_throughput_step,reward_latency_base,reward_latency_step,latency_source,latency_probe_connected,latency_probe_samples,latency_probe_min,latency_probe_max,constraint_lambda,constraint_penalty,latency_limit_ms,latency_violation_ms,constraint_metric_ms,unsafe
1,2,0.7789232134819031,0.43749579787254333,0.8650748133659363,0.7125983238220215,0.09183582663536072,0.9732810258865356,0.7769318222999573,0.7937386631965637,0.1234188973903656,0.4558115303516388,0.36616384983062744,1560,29360128,17300,95420416,False,4160749568,True,2880,False,4780032,3840000,112.0,784507.5,13075.125,1244767.0,,1.3075125217437744,13075.125217437744,1.0138580575585365,2.139335125684738,1.6109999418258667,-2.4698782563363415,1,0,-0.47655349724533347,-0.47655349724533347,0.0,-0.17422154021934877,probe,True,200,0.21354800462722778,6.683786869049072,1.0,0.0,80.0,0.0,2.139335125684738,False
2,2,0.9270673990249634,0.6449041366577148,0.8100959658622742,0.44137248396873474,0.21927782893180847,0.5421186089515686,0.08272817730903625,0.8262137770652771,0.6128536462783813,0.7781617045402527,0.3476409614086151,1850,43253760,16200,58720256,False,2348810240,False,3000,True,8159232,3645440,112.0,775421.04,12923.684000000001,1231859.0,,1.2923684120178223,12923.684120178223,1.2663754634559155,2.106112241744995,1.8990000486373901,-2.0484250424435064,2,0,-0.4787057526941889,-0.01158186427157615,0.0,-0.244040334790349,probe,True,256,0.6003339886665344,11.171520233154297,1.0,0.0,80.0,0.0,2.106112241744995,False
3,2,0.9716752171516418,0.8799111247062683,0.7602930068969727,0.19370928406715393,0.44726210832595825,0.03511327505111694,0.1671656370162964,0.678716778755188,0.7199625968933105,1.0,0.3188157081604004,1940,58982400,15200,26214400,False,134217728,False,2460,True,10485760,3343360,112.0,732674.53,12211.242166666667,1167888.0,,1.2211241722106934,12211.241722106934,1.4507830142974854,2.3712605237960815,1.9889999628067017,-2.071884746704921,3,0,-0.4861286881778991,-0.05507110587977508,0.0,-0.14459777622709852,probe,True,256,0.48801499605178833,11.171520233154297,1.0,0.0,80.0,0.0,2.3712605237960815,False
4,2,0.36085835099220276,0.4645910859107971,0.15919959545135498,0.13108208775520325,0.43667852878570557,0.20495003461837769,0.6846394538879395,0.44021084904670715,0.809629499912262,0.7376173734664917,0.302356481552124,720,31195136,3200,17825792,False,872415232,True,1560,True,7734272,3170304,112.0,1169764.77,19496.0795,1860068.0,,1.9496079683303833,19496.079683303833,1.3902295380830765,2.4656297639012337,0.7689999938011169,-1.1932972223160307,4,0,-0.43718934882696536,0.5346030438802178,0.0,0.04171425822322604,probe,True,256,0.48801499605178833,9.45319938659668,1.0,0.0,80.0,0.0,2.4656297639012337,False
5,2,0.807887613773346,0.7926086187362671,0.3526456356048584,0.30005818605422974,0.6469637751579285,0.10019570589065552,0.21795225143432617,0.00656580924987793,0.7571409940719604,0.7082638740539551,0.7054802179336548,1620,53215232,7100,39845888,True,402653184,False,60,True,7427072,7397376,112.0,814254.88,13570.914666666667,1290753.0,,1.3570914268493652,13570.914268493652,1.2838074937462807,2.23283302038908,1.6699999570846558,-2.025781040300709,5,0,-0.44227237414938203,-0.29489194635604343,0.0,0.07640080530572578,probe,True,256,0.6688759922981262,8.700610160827637,1.0,0.0,80.0,0.0,2.23283302038908,False
6,2,0.7657062411308289,0.43838611245155334,0.5308685898780823,0.15482211112976074,0.08880716562271118,0.6241137981414795,0.48725661635398865,0.5533774495124817,0.7232980728149414,0.6861914396286011,0.5674561858177185,1530,29360128,10600,20971520,False,2684354560,False,1980,True,7195648,5950464,112.0,865388.8,14423.146666666667,1381473.0,,1.442314624786377,14423.14624786377,1.2610950507223606,2.300647832453251,1.5779999494552612,-1.6654446253749031,6,0,-0.4342513592581433,0.06271599892054742,0.0,0.017689625474245137,probe,True,256,0.6688759922981262,8.700610160827637,1.0,0.0,80.0,0.0,2.300647832453251,False
7,2,0.5434867739677429,0.2934865653514862,0.0,0.44526877999305725,0.1925143003463745,0.37968626618385315,0.8691810369491577,0.23774507641792297,0.0,0.34099888801574707,0.30832019448280334,1090,19660800,unlimited,59768832,False,1610612736,True,840,False,3575808,3232768,112.0,909065.01,15151.0835,1421752.0,,1.515108346939087,15151.08346939087,1.3042500242590904,2.0279185846447945,1.1380000114440918,-1.6500601263226444,7,0,-0.4208459862037445,0.05042726212979752,0.0,-0.034206887274927524,probe,True,256,0.6838520169258118,5.999513149261475,1.0,0.0,80.0,0.0,2.0279185846447945,False
8,2,0.643229603767395,0.5475019216537476,0.7298743724822998,0.670655369758606,0.38792067766189575,0.8000001907348633,0.1775444746017456,0.0184270441532135,0.017296403646469116,0.7910389304161072,0.4798690974712372,1290,36700160,14600,90177536,False,3422552064,False,60,False,8294400,5031936,112.0,832010.65,13866.844166666668,1329026.0,,1.3866844177246094,13866.844177246094,1.2521544471383095,1.9543824717402458,1.3389999866485596,-1.7076428543558684,8,0,-0.41076097848155035,-0.08455979484004118,0.0,0.03992170882074888,probe,True,256,0.6838520169258118,6.737606048583984,1.0,0.0,80.0,0.0,1.9543824717402458,False
